quiet,active,jailed,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.95,
	""vision"":7,
	""govermentLegitimacy"":0.62,
	""maxJailTerm"":30,
	""movement"":false,
	""tickTime"":1000
}",,,
407,178,935,,,,,,,,,
407,174,939,,,,,,,,,
407,199,914,,,,,,,,,
407,193,920,,,,,,,,,
407,190,923,,,,,,,,,
408,199,913,,,,,,,,,
407,195,918,,,,,,,,,
407,199,914,,,,,,,,,
407,193,920,,,,,,,,,
407,194,919,,,,,,,,,
407,204,909,,,,,,,,,
407,207,906,,,,,,,,,
407,195,918,,,,,,,,,
407,194,919,,,,,,,,,
407,191,922,,,,,,,,,
407,190,923,,,,,,,,,
407,186,927,,,,,,,,,
407,197,916,,,,,,,,,
407,189,924,,,,,,,,,
407,174,939,,,,,,,,,
407,191,922,,,,,,,,,
407,192,921,,,,,,,,,
407,176,937,,,,,,,,,
407,182,931,,,,,,,,,
407,184,929,,,,,,,,,
407,187,926,,,,,,,,,
407,193,920,,,,,,,,,
407,190,923,,,,,,,,,
407,195,918,,,,,,,,,
407,197,916,,,,,,,,,
407,194,919,,,,,,,,,
407,188,925,,,,,,,,,
407,203,910,,,,,,,,,
407,191,922,,,,,,,,,
407,194,919,,,,,,,,,
407,191,922,,,,,,,,,
407,207,906,,,,,,,,,
407,223,890,,,,,,,,,
407,228,885,,,,,,,,,
407,214,899,,,,,,,,,
407,213,900,,,,,,,,,
407,205,908,,,,,,,,,
407,195,918,,,,,,,,,
407,188,925,,,,,,,,,
407,191,922,,,,,,,,,
407,186,927,,,,,,,,,
407,187,926,,,,,,,,,
407,194,919,,,,,,,,,
407,187,926,,,,,,,,,
408,181,931,,,,,,,,,
408,201,911,,,,,,,,,
408,186,926,,,,,,,,,
407,186,927,,,,,,,,,
407,197,916,,,,,,,,,
407,217,896,,,,,,,,,
407,223,890,,,,,,,,,
407,211,902,,,,,,,,,
407,219,894,,,,,,,,,
407,207,906,,,,,,,,,
407,206,907,,,,,,,,,
408,217,895,,,,,,,,,
407,213,900,,,,,,,,,
407,200,913,,,,,,,,,
408,202,910,,,,,,,,,
407,189,924,,,,,,,,,
407,195,918,,,,,,,,,
407,187,926,,,,,,,,,
407,192,921,,,,,,,,,
407,213,900,,,,,,,,,
407,203,910,,,,,,,,,
407,227,886,,,,,,,,,
407,216,897,,,,,,,,,
407,219,894,,,,,,,,,
407,207,906,,,,,,,,,
407,215,898,,,,,,,,,
407,217,896,,,,,,,,,
407,218,895,,,,,,,,,
407,228,885,,,,,,,,,
407,221,892,,,,,,,,,
407,222,891,,,,,,,,,
407,224,889,,,,,,,,,
407,232,881,,,,,,,,,
407,218,895,,,,,,,,,
407,229,884,,,,,,,,,
407,216,897,,,,,,,,,
407,221,892,,,,,,,,,
407,220,893,,,,,,,,,
407,223,890,,,,,,,,,
407,219,894,,,,,,,,,
407,211,902,,,,,,,,,
407,210,903,,,,,,,,,
407,203,910,,,,,,,,,
407,196,917,,,,,,,,,
407,202,911,,,,,,,,,
407,196,917,,,,,,,,,
407,199,914,,,,,,,,,
408,193,919,,,,,,,,,
408,186,926,,,,,,,,,
407,181,932,,,,,,,,,
407,189,924,,,,,,,,,
407,198,915,,,,,,,,,
407,206,907,,,,,,,,,
407,196,917,,,,,,,,,
407,194,919,,,,,,,,,
407,203,910,,,,,,,,,
407,191,922,,,,,,,,,
407,206,907,,,,,,,,,
407,198,915,,,,,,,,,
407,197,916,,,,,,,,,
407,186,927,,,,,,,,,
407,185,928,,,,,,,,,
407,190,923,,,,,,,,,
408,193,919,,,,,,,,,
407,196,917,,,,,,,,,
407,188,925,,,,,,,,,
407,194,919,,,,,,,,,
407,190,923,,,,,,,,,
407,193,920,,,,,,,,,
407,197,916,,,,,,,,,
408,191,921,,,,,,,,,
407,185,928,,,,,,,,,
407,180,933,,,,,,,,,
407,189,924,,,,,,,,,
407,199,914,,,,,,,,,
407,203,910,,,,,,,,,
407,197,916,,,,,,,,,
407,205,908,,,,,,,,,
407,193,920,,,,,,,,,
407,193,920,,,,,,,,,
407,194,919,,,,,,,,,
407,200,913,,,,,,,,,
407,195,918,,,,,,,,,
407,192,921,,,,,,,,,
407,212,901,,,,,,,,,
407,223,890,,,,,,,,,
407,223,890,,,,,,,,,
407,215,898,,,,,,,,,
407,200,913,,,,,,,,,
407,200,913,,,,,,,,,
407,198,915,,,,,,,,,
407,196,917,,,,,,,,,
407,180,933,,,,,,,,,
407,181,932,,,,,,,,,
407,180,933,,,,,,,,,
407,178,935,,,,,,,,,
407,175,938,,,,,,,,,
407,183,930,,,,,,,,,
407,178,935,,,,,,,,,
407,180,933,,,,,,,,,
407,177,936,,,,,,,,,
408,185,927,,,,,,,,,
408,188,924,,,,,,,,,
407,197,916,,,,,,,,,
407,185,928,,,,,,,,,
407,179,934,,,,,,,,,
407,174,939,,,,,,,,,
407,174,939,,,,,,,,,
407,168,945,,,,,,,,,
407,168,945,,,,,,,,,
407,166,947,,,,,,,,,
407,151,962,,,,,,,,,
407,162,951,,,,,,,,,
407,159,954,,,,,,,,,
407,154,959,,,,,,,,,
407,147,966,,,,,,,,,
407,149,964,,,,,,,,,
407,159,954,,,,,,,,,
408,161,951,,,,,,,,,
407,167,946,,,,,,,,,
407,170,943,,,,,,,,,
