quiet,active,jailed,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.95,
	""vision"":7,
	""govermentLegitimacy"":0.82,
	""maxJailTerm"":30,
	""movement"":true,
	""extention1"":false,
	""tickTime"":1000
}",,,,
1018,57,445,,,,,,,,,,
978,88,454,,,,,,,,,,
920,120,480,,,,,,,,,,
871,153,496,,,,,,,,,,
853,153,514,,,,,,,,,,
851,127,542,,,,,,,,,,
864,89,567,,,,,,,,,,
890,54,576,,,,,,,,,,
909,37,574,,,,,,,,,,
938,22,560,,,,,,,,,,
958,10,552,,,,,,,,,,
984,3,533,,,,,,,,,,
1016,4,500,,,,,,,,,,
1015,20,485,,,,,,,,,,
1019,21,480,,,,,,,,,,
1019,24,477,,,,,,,,,,
1039,23,458,,,,,,,,,,
1067,11,442,,,,,,,,,,
1112,1,407,,,,,,,,,,
1148,0,372,,,,,,,,,,
1129,29,362,,,,,,,,,,
1052,86,382,,,,,,,,,,
920,192,408,,,,,,,,,,
849,222,449,,,,,,,,,,
843,200,477,,,,,,,,,,
844,168,508,,,,,,,,,,
847,135,538,,,,,,,,,,
861,96,563,,,,,,,,,,
891,57,572,,,,,,,,,,
900,53,567,,,,,,,,,,
897,53,570,,,,,,,,,,
916,34,570,,,,,,,,,,
940,24,556,,,,,,,,,,
966,18,536,,,,,,,,,,
990,10,520,,,,,,,,,,
1022,2,496,,,,,,,,,,
1048,0,472,,,,,,,,,,
1073,1,446,,,,,,,,,,
1085,6,429,,,,,,,,,,
1086,13,421,,,,,,,,,,
1069,30,421,,,,,,,,,,
1004,77,439,,,,,,,,,,
903,140,477,,,,,,,,,,
861,155,504,,,,,,,,,,
852,140,528,,,,,,,,,,
852,119,549,,,,,,,,,,
861,98,561,,,,,,,,,,
873,89,558,,,,,,,,,,
884,60,576,,,,,,,,,,
911,42,567,,,,,,,,,,
926,20,574,,,,,,,,,,
947,17,556,,,,,,,,,,
945,35,540,,,,,,,,,,
956,28,536,,,,,,,,,,
992,15,513,,,,,,,,,,
1017,3,500,,,,,,,,,,
1046,1,473,,,,,,,,,,
1077,0,443,,,,,,,,,,
1058,29,433,,,,,,,,,,
1012,67,441,,,,,,,,,,
918,139,463,,,,,,,,,,
868,166,486,,,,,,,,,,
849,147,524,,,,,,,,,,
848,122,550,,,,,,,,,,
866,81,573,,,,,,,,,,
882,56,582,,,,,,,,,,
908,26,586,,,,,,,,,,
937,14,569,,,,,,,,,,
967,11,542,,,,,,,,,,
1008,5,507,,,,,,,,,,
1037,7,476,,,,,,,,,,
1045,10,465,,,,,,,,,,
1079,2,439,,,,,,,,,,
1118,0,402,,,,,,,,,,
1130,8,382,,,,,,,,,,
1081,55,384,,,,,,,,,,
985,128,407,,,,,,,,,,
871,213,436,,,,,,,,,,
846,211,463,,,,,,,,,,
845,184,491,,,,,,,,,,
844,155,521,,,,,,,,,,
850,119,551,,,,,,,,,,
861,93,566,,,,,,,,,,
887,54,579,,,,,,,,,,
909,28,583,,,,,,,,,,
941,11,568,,,,,,,,,,
978,7,535,,,,,,,,,,
996,13,511,,,,,,,,,,
999,24,497,,,,,,,,,,
978,40,502,,,,,,,,,,
949,63,508,,,,,,,,,,
929,71,520,,,,,,,,,,
922,61,537,,,,,,,,,,
919,56,545,,,,,,,,,,
939,38,543,,,,,,,,,,
941,38,541,,,,,,,,,,
952,41,527,,,,,,,,,,
974,28,518,,,,,,,,,,
998,21,501,,,,,,,,,,
1022,12,486,,,,,,,,,,
1041,5,474,,,,,,,,,,
1079,1,440,,,,,,,,,,
1109,0,411,,,,,,,,,,
1123,5,392,,,,,,,,,,
1123,23,374,,,,,,,,,,
1083,72,365,,,,,,,,,,
994,151,375,,,,,,,,,,
924,195,401,,,,,,,,,,
884,211,425,,,,,,,,,,
859,204,457,,,,,,,,,,
848,176,496,,,,,,,,,,
843,146,531,,,,,,,,,,
851,110,559,,,,,,,,,,
864,82,574,,,,,,,,,,
880,54,586,,,,,,,,,,
892,32,596,,,,,,,,,,
920,8,592,,,,,,,,,,
939,3,578,,,,,,,,,,
971,0,549,,,,,,,,,,
1003,4,513,,,,,,,,,,
1027,9,484,,,,,,,,,,
1035,15,470,,,,,,,,,,
1026,33,461,,,,,,,,,,
1010,40,470,,,,,,,,,,
1006,37,477,,,,,,,,,,
965,75,480,,,,,,,,,,
931,93,496,,,,,,,,,,
879,119,522,,,,,,,,,,
873,99,548,,,,,,,,,,
852,101,567,,,,,,,,,,
859,70,591,,,,,,,,,,
889,38,593,,,,,,,,,,
928,12,580,,,,,,,,,,
984,2,534,,,,,,,,,,
1026,2,492,,,,,,,,,,
1050,3,467,,,,,,,,,,
1065,8,447,,,,,,,,,,
1090,3,427,,,,,,,,,,
1114,4,402,,,,,,,,,,
1129,14,377,,,,,,,,,,
1020,101,399,,,,,,,,,,
941,162,417,,,,,,,,,,
900,175,445,,,,,,,,,,
857,182,481,,,,,,,,,,
843,159,518,,,,,,,,,,
846,134,540,,,,,,,,,,
854,86,580,,,,,,,,,,
863,52,605,,,,,,,,,,
895,20,605,,,,,,,,,,
936,6,578,,,,,,,,,,
963,9,548,,,,,,,,,,
975,18,527,,,,,,,,,,
973,32,515,,,,,,,,,,
976,39,505,,,,,,,,,,
957,46,517,,,,,,,,,,
952,50,518,,,,,,,,,,
942,54,524,,,,,,,,,,
905,88,527,,,,,,,,,,
889,92,539,,,,,,,,,,
897,60,563,,,,,,,,,,
927,26,567,,,,,,,,,,
944,16,560,,,,,,,,,,
956,17,547,,,,,,,,,,
991,8,521,,,,,,,,,,
1006,8,506,,,,,,,,,,
1004,23,493,,,,,,,,,,
985,54,481,,,,,,,,,,
994,43,483,,,,,,,,,,
979,64,477,,,,,,,,,,
956,73,491,,,,,,,,,,
944,78,498,,,,,,,,,,
956,64,500,,,,,,,,,,
962,55,503,,,,,,,,,,
940,70,510,,,,,,,,,,
901,101,518,,,,,,,,,,
916,80,524,,,,,,,,,,
943,57,520,,,,,,,,,,
966,38,516,,,,,,,,,,
988,21,511,,,,,,,,,,
1017,5,498,,,,,,,,,,
1040,11,469,,,,,,,,,,
1033,37,450,,,,,,,,,,
996,70,454,,,,,,,,,,
983,67,470,,,,,,,,,,
970,63,487,,,,,,,,,,
916,97,507,,,,,,,,,,
889,107,524,,,,,,,,,,
885,80,555,,,,,,,,,,
886,60,574,,,,,,,,,,
907,42,571,,,,,,,,,,
916,37,567,,,,,,,,,,
943,16,561,,,,,,,,,,
983,1,536,,,,,,,,,,
1005,4,511,,,,,,,,,,
1013,15,492,,,,,,,,,,
1015,35,470,,,,,,,,,,
984,67,469,,,,,,,,,,
975,73,472,,,,,,,,,,
929,112,479,,,,,,,,,,
893,114,513,,,,,,,,,,
873,100,547,,,,,,,,,,
868,88,564,,,,,,,,,,
878,60,582,,,,,,,,,,
905,19,596,,,,,,,,,,
941,8,571,,,,,,,,,,
974,4,542,,,,,,,,,,
1011,3,506,,,,,,,,,,
1036,1,483,,,,,,,,,,
1069,1,450,,,,,,,,,,
1091,4,425,,,,,,,,,,
1123,2,395,,,,,,,,,,
1156,0,364,,,,,,,,,,
1181,0,339,,,,,,,,,,
1186,12,322,,,,,,,,,,
1114,74,332,,,,,,,,,,
964,201,355,,,,,,,,,,
858,270,392,,,,,,,,,,
843,256,421,,,,,,,,,,
844,220,456,,,,,,,,,,
843,191,486,,,,,,,,,,
845,155,520,,,,,,,,,,
847,125,548,,,,,,,,,,
858,91,571,,,,,,,,,,
883,52,585,,,,,,,,,,
894,33,593,,,,,,,,,,
927,11,582,,,,,,,,,,
972,1,547,,,,,,,,,,
994,4,522,,,,,,,,,,
1019,7,494,,,,,,,,,,
1060,0,460,,,,,,,,,,
1080,3,437,,,,,,,,,,
1102,3,415,,,,,,,,,,
1129,0,391,,,,,,,,,,
1121,17,382,,,,,,,,,,
1050,75,395,,,,,,,,,,
896,198,426,,,,,,,,,,
843,219,458,,,,,,,,,,
843,182,495,,,,,,,,,,
845,158,517,,,,,,,,,,
847,131,542,,,,,,,,,,
858,101,561,,,,,,,,,,
874,67,579,,,,,,,,,,
915,29,576,,,,,,,,,,
944,12,564,,,,,,,,,,
981,8,531,,,,,,,,,,
1003,11,506,,,,,,,,,,
1002,23,495,,,,,,,,,,
990,39,491,,,,,,,,,,
980,45,495,,,,,,,,,,
977,55,488,,,,,,,,,,
946,82,492,,,,,,,,,,
919,82,519,,,,,,,,,,
947,46,527,,,,,,,,,,
960,25,535,,,,,,,,,,
996,5,519,,,,,,,,,,
1018,1,501,,,,,,,,,,
1044,0,476,,,,,,,,,,
1077,0,443,,,,,,,,,,
1108,0,412,,,,,,,,,,
1138,2,380,,,,,,,,,,
1150,10,360,,,,,,,,,,
1075,80,365,,,,,,,,,,
999,141,380,,,,,,,,,,
927,188,405,,,,,,,,,,
856,226,438,,,,,,,,,,
843,213,464,,,,,,,,,,
843,194,483,,,,,,,,,,
843,175,502,,,,,,,,,,
843,141,536,,,,,,,,,,
848,102,570,,,,,,,,,,
861,69,590,,,,,,,,,,
888,30,602,,,,,,,,,,
920,10,590,,,,,,,,,,
946,10,564,,,,,,,,,,
960,14,546,,,,,,,,,,
979,19,522,,,,,,,,,,
980,25,515,,,,,,,,,,
1009,12,499,,,,,,,,,,
1033,17,470,,,,,,,,,,
1038,26,456,,,,,,,,,,
1032,33,455,,,,,,,,,,
999,53,468,,,,,,,,,,
948,83,489,,,,,,,,,,
875,138,507,,,,,,,,,,
879,116,525,,,,,,,,,,
893,95,532,,,,,,,,,,
891,84,545,,,,,,,,,,
885,72,563,,,,,,,,,,
893,48,579,,,,,,,,,,
907,23,590,,,,,,,,,,
946,20,554,,,,,,,,,,
978,11,531,,,,,,,,,,
988,13,519,,,,,,,,,,
999,16,505,,,,,,,,,,
1024,13,483,,,,,,,,,,
1052,6,462,,,,,,,,,,
1070,11,439,,,,,,,,,,
1081,13,426,,,,,,,,,,
1075,17,428,,,,,,,,,,
1091,18,411,,,,,,,,,,
1091,18,411,,,,,,,,,,
1084,21,415,,,,,,,,,,
1096,13,411,,,,,,,,,,
1099,14,407,,,,,,,,,,
1086,34,400,,,,,,,,,,
1030,82,408,,,,,,,,,,
949,147,424,,,,,,,,,,
884,186,450,,,,,,,,,,
856,187,477,,,,,,,,,,
847,176,497,,,,,,,,,,
848,151,521,,,,,,,,,,
853,121,546,,,,,,,,,,
860,100,560,,,,,,,,,,
877,70,573,,,,,,,,,,
881,49,590,,,,,,,,,,
890,41,589,,,,,,,,,,
922,9,589,,,,,,,,,,
961,1,558,,,,,,,,,,
