quiet,active,jailed,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.70,
	""vision"":7,
	""govermentLegitimacy"":0.82,
	""maxJailTerm"":30,
	""movement"":true,
	""extention1"":true,
	""tickTime"":1000
}",,,
905,13,202,,,,,,,,
922,5,193,,,,,,,,
942,0,178,,,,,,,,
954,0,166,,,,,,,,
952,9,159,,,,,,,,
923,24,173,,,,,,,,
865,66,189,,,,,,,,
797,98,225,,,,,,,,
773,80,267,,,,,,,,
767,45,308,,,,,,,,
780,14,326,,,,,,,,
802,4,314,,,,,,,,
817,4,299,,,,,,,,
833,0,287,,,,,,,,
850,0,270,,,,,,,,
868,0,252,,,,,,,,
880,0,240,,,,,,,,
893,0,227,,,,,,,,
899,3,218,,,,,,,,
913,1,206,,,,,,,,
917,5,198,,,,,,,,
905,20,195,,,,,,,,
908,15,197,,,,,,,,
912,11,197,,,,,,,,
901,20,199,,,,,,,,
878,31,211,,,,,,,,
847,45,228,,,,,,,,
856,23,241,,,,,,,,
850,20,250,,,,,,,,
853,20,247,,,,,,,,
872,10,238,,,,,,,,
892,2,226,,,,,,,,
901,0,219,,,,,,,,
921,0,199,,,,,,,,
939,0,181,,,,,,,,
958,0,162,,,,,,,,
975,0,145,,,,,,,,
989,0,131,,,,,,,,
993,0,127,,,,,,,,
992,3,125,,,,,,,,
994,3,123,,,,,,,,
1001,0,119,,,,,,,,
982,14,124,,,,,,,,
920,47,153,,,,,,,,
829,89,202,,,,,,,,
820,67,233,,,,,,,,
820,43,257,,,,,,,,
838,14,268,,,,,,,,
855,3,262,,,,,,,,
867,1,252,,,,,,,,
889,1,230,,,,,,,,
904,2,214,,,,,,,,
920,0,200,,,,,,,,
913,14,193,,,,,,,,
894,28,198,,,,,,,,
876,35,209,,,,,,,,
865,30,225,,,,,,,,
876,8,236,,,,,,,,
853,20,247,,,,,,,,
830,25,265,,,,,,,,
822,18,280,,,,,,,,
834,3,283,,,,,,,,
856,2,262,,,,,,,,
872,0,248,,,,,,,,
878,4,238,,,,,,,,
884,8,228,,,,,,,,
876,13,231,,,,,,,,
882,7,231,,,,,,,,
890,9,221,,,,,,,,
897,9,214,,,,,,,,
911,4,205,,,,,,,,
935,0,185,,,,,,,,
950,1,169,,,,,,,,
960,0,160,,,,,,,,
966,0,154,,,,,,,,
942,23,155,,,,,,,,
875,67,178,,,,,,,,
851,59,210,,,,,,,,
821,62,237,,,,,,,,
806,49,265,,,,,,,,
794,44,282,,,,,,,,
801,25,294,,,,,,,,
819,10,291,,,,,,,,
835,3,282,,,,,,,,
854,2,264,,,,,,,,
865,1,254,,,,,,,,
879,1,240,,,,,,,,
893,0,227,,,,,,,,
911,0,209,,,,,,,,
926,0,194,,,,,,,,
945,0,175,,,,,,,,
938,9,173,,,,,,,,
948,3,169,,,,,,,,
934,17,169,,,,,,,,
934,10,176,,,,,,,,
939,8,173,,,,,,,,
945,7,168,,,,,,,,
951,3,166,,,,,,,,
966,0,154,,,,,,,,
980,0,140,,,,,,,,
991,1,128,,,,,,,,
992,1,127,,,,,,,,
989,12,119,,,,,,,,
955,27,138,,,,,,,,
928,39,153,,,,,,,,
835,101,184,,,,,,,,
764,130,226,,,,,,,,
