tick,quiet,active,jailed,totalPeople,totalAgent,totalCop,totalJailCount
511,930,101,489,1095,1031,64,489
512,940,94,486,1098,1034,64,486
513,931,104,485,1099,1035,64,485
514,921,100,499,1085,1021,64,499
515,929,89,502,1082,1018,64,502
516,933,83,504,1080,1016,64,504
517,940,81,499,1085,1021,64,499
518,938,90,492,1092,1028,64,492
519,932,92,496,1088,1024,64,496
520,924,96,500,1084,1020,64,500
521,931,87,502,1082,1018,64,502
522,935,70,515,1069,1005,64,515
523,944,61,515,1069,1005,64,515
524,931,65,524,1060,996,64,524
525,916,73,531,1053,989,64,531
526,924,65,531,1053,989,64,531
527,920,69,531,1053,989,64,531
528,920,74,526,1058,994,64,526
529,918,70,532,1052,988,64,532
530,939,62,519,1065,1001,64,519
531,959,61,500,1084,1020,64,500
532,948,81,491,1093,1029,64,491
533,945,95,480,1104,1040,64,480
534,919,102,499,1085,1021,64,499
535,920,107,493,1091,1027,64,493
536,931,110,479,1105,1041,64,479
537,904,117,499,1085,1021,64,499
538,918,90,512,1072,1008,64,512
539,925,77,518,1066,1002,64,518
540,933,72,515,1069,1005,64,515
541,922,78,520,1064,1000,64,520
542,932,67,521,1063,999,64,521
543,933,68,519,1065,1001,64,519
544,920,75,525,1059,995,64,525
545,924,66,530,1054,990,64,530
546,933,60,527,1057,993,64,527
547,938,54,528,1056,992,64,528
548,947,54,519,1065,1001,64,519
549,946,62,512,1072,1008,64,512
550,946,72,502,1082,1018,64,502
551,931,81,508,1076,1012,64,508
552,940,75,505,1079,1015,64,505
553,937,77,506,1078,1014,64,506
554,928,84,508,1076,1012,64,508
555,936,81,503,1081,1017,64,503
556,945,73,502,1082,1018,64,502
557,926,85,509,1075,1011,64,509
558,930,90,500,1084,1020,64,500
559,939,79,502,1082,1018,64,502
560,946,70,504,1080,1016,64,504
561,948,78,494,1090,1026,64,494
562,922,92,506,1078,1014,64,506
563,914,94,512,1072,1008,64,512
564,934,80,506,1078,1014,64,506
565,934,83,503,1081,1017,64,503
566,934,86,500,1084,1020,64,500
567,923,98,499,1085,1021,64,499
568,933,93,494,1090,1026,64,494
569,923,95,502,1082,1018,64,502
570,921,85,514,1070,1006,64,514
571,920,76,524,1060,996,64,524
572,913,72,535,1049,985,64,535
573,925,54,541,1043,979,64,541
574,927,52,541,1043,979,64,541
575,907,64,549,1035,971,64,549
576,915,56,549,1035,971,64,549
577,936,56,528,1056,992,64,528
578,937,66,517,1067,1003,64,517
579,941,65,514,1070,1006,64,514
580,932,72,516,1068,1004,64,516
581,926,78,516,1068,1004,64,516
582,920,68,532,1052,988,64,532
583,933,66,521,1063,999,64,521
584,927,72,521,1063,999,64,521
585,931,75,514,1070,1006,64,514
586,931,81,508,1076,1012,64,508
587,936,85,499,1085,1021,64,499
588,933,83,504,1080,1016,64,504
589,930,88,502,1082,1018,64,502
590,922,82,516,1068,1004,64,516
591,929,79,512,1072,1008,64,512
592,938,78,504,1080,1016,64,504
593,918,87,515,1069,1005,64,515
594,910,91,519,1065,1001,64,519
595,916,88,516,1068,1004,64,516
596,933,80,507,1077,1013,64,507
597,927,86,507,1077,1013,64,507
598,933,77,510,1074,1010,64,510
599,926,87,507,1077,1013,64,507
600,923,85,512,1072,1008,64,512
601,928,81,511,1073,1009,64,511
602,926,85,509,1075,1011,64,509
603,923,81,516,1068,1004,64,516
604,920,78,522,1062,998,64,522
605,937,74,509,1075,1011,64,509
606,931,78,511,1073,1009,64,511
607,932,83,505,1079,1015,64,505
608,942,81,497,1087,1023,64,497
609,944,82,494,1090,1026,64,494
610,942,83,495,1089,1025,64,495
611,940,92,488,1096,1032,64,488
612,940,95,485,1099,1035,64,485
613,925,100,495,1089,1025,64,495
614,928,91,501,1083,1019,64,501
615,921,90,509,1075,1011,64,509
616,921,75,524,1060,996,64,524
617,927,63,530,1054,990,64,530
618,929,71,520,1064,1000,64,520
619,920,73,527,1057,993,64,527
620,932,67,521,1063,999,64,521
621,934,71,515,1069,1005,64,515
622,935,79,506,1078,1014,64,506
623,936,85,499,1085,1021,64,499
624,942,80,498,1086,1022,64,498
625,940,90,490,1094,1030,64,490
626,926,94,500,1084,1020,64,500
627,928,86,506,1078,1014,64,506
628,924,90,506,1078,1014,64,506
629,930,88,502,1082,1018,64,502
630,912,96,512,1072,1008,64,512
631,914,85,521,1063,999,64,521
632,919,83,518,1066,1002,64,518
633,923,77,520,1064,1000,64,520
634,922,80,518,1066,1002,64,518
635,921,76,523,1061,997,64,523
636,931,59,530,1054,990,64,530
637,945,58,517,1067,1003,64,517
638,954,55,511,1073,1009,64,511
639,950,66,504,1080,1016,64,504
640,948,77,495,1089,1025,64,495
641,936,83,501,1083,1019,64,501
642,932,87,501,1083,1019,64,501
643,915,97,508,1076,1012,64,508
644,923,83,514,1070,1006,64,514
645,929,81,510,1074,1010,64,510
646,930,81,509,1075,1011,64,509
647,921,75,524,1060,996,64,524
648,939,58,523,1061,997,64,523
649,937,66,517,1067,1003,64,517
650,922,78,520,1064,1000,64,520
651,918,79,523,1061,997,64,523
652,907,77,536,1048,984,64,536
653,913,65,542,1042,978,64,542
654,929,57,534,1050,986,64,534
655,933,61,526,1058,994,64,526
656,934,77,509,1075,1011,64,509
657,923,86,511,1073,1009,64,511
658,932,81,507,1077,1013,64,507
659,918,90,512,1072,1008,64,512
660,942,74,504,1080,1016,64,504
661,936,82,502,1082,1018,64,502
662,923,76,521,1063,999,64,521
663,923,72,525,1059,995,64,525
664,923,83,514,1070,1006,64,514
665,922,89,509,1075,1011,64,509
666,925,84,511,1073,1009,64,511
667,942,77,501,1083,1019,64,501
668,938,78,504,1080,1016,64,504
669,942,71,507,1077,1013,64,507
670,950,67,503,1081,1017,64,503
671,941,76,503,1081,1017,64,503
672,929,85,506,1078,1014,64,506
673,930,83,507,1077,1013,64,507
674,932,77,511,1073,1009,64,511
675,948,71,501,1083,1019,64,501
676,941,83,496,1088,1024,64,496
677,951,83,486,1098,1034,64,486
678,927,102,491,1093,1029,64,491
679,918,95,507,1077,1013,64,507
680,928,80,512,1072,1008,64,512
681,932,78,510,1074,1010,64,510
682,934,81,505,1079,1015,64,505
683,932,88,500,1084,1020,64,500
684,936,85,499,1085,1021,64,499
685,920,91,509,1075,1011,64,509
686,919,77,524,1060,996,64,524
687,923,73,524,1060,996,64,524
688,916,76,528,1056,992,64,528
689,922,66,532,1052,988,64,532
690,940,62,518,1066,1002,64,518
691,927,67,526,1058,994,64,526
692,911,66,543,1041,977,64,543
693,932,56,532,1052,988,64,532
694,920,68,532,1052,988,64,532
695,935,74,511,1073,1009,64,511
696,924,82,514,1070,1006,64,514
697,938,86,496,1088,1024,64,496
698,936,86,498,1086,1022,64,498
699,935,92,493,1091,1027,64,493
700,940,88,492,1092,1028,64,492
701,938,93,489,1095,1031,64,489
702,919,100,501,1083,1019,64,501
703,916,93,511,1073,1009,64,511
704,925,87,508,1076,1012,64,508
705,922,94,504,1080,1016,64,504
706,929,82,509,1075,1011,64,509
707,929,74,517,1067,1003,64,517
708,920,74,526,1058,994,64,526
709,934,62,524,1060,996,64,524
710,948,60,512,1072,1008,64,512
711,957,61,502,1082,1018,64,502
712,932,87,501,1083,1019,64,501
713,949,84,487,1097,1033,64,487
714,934,102,484,1100,1036,64,484
715,916,113,491,1093,1029,64,491
716,919,101,500,1084,1020,64,500
717,922,89,509,1075,1011,64,509
718,929,86,505,1079,1015,64,505
719,918,83,519,1065,1001,64,519
720,926,78,516,1068,1004,64,516
721,928,87,505,1079,1015,64,505
722,928,81,511,1073,1009,64,511
723,939,75,506,1078,1014,64,506
724,945,77,498,1086,1022,64,498
725,943,83,494,1090,1026,64,494
726,939,91,490,1094,1030,64,490
727,925,91,504,1080,1016,64,504
728,912,97,511,1073,1009,64,511
729,915,82,523,1061,997,64,523
730,930,70,520,1064,1000,64,520
731,939,60,521,1063,999,64,521
732,941,68,511,1073,1009,64,511
733,938,79,503,1081,1017,64,503
734,923,89,508,1076,1012,64,508
735,910,88,522,1062,998,64,522
736,919,72,529,1055,991,64,529
737,925,75,520,1064,1000,64,520
738,923,83,514,1070,1006,64,514
739,930,81,509,1075,1011,64,509
740,940,87,493,1091,1027,64,493
741,932,93,495,1089,1025,64,495
742,935,92,493,1091,1027,64,493
743,929,95,496,1088,1024,64,496
744,913,93,514,1070,1006,64,514
745,929,83,508,1076,1012,64,508
746,929,81,510,1074,1010,64,510
747,922,80,518,1066,1002,64,518
748,924,83,513,1071,1007,64,513
749,925,83,512,1072,1008,64,512
750,927,78,515,1069,1005,64,515
751,927,82,511,1073,1009,64,511
752,916,83,521,1063,999,64,521
753,927,70,523,1061,997,64,523
754,921,72,527,1057,993,64,527
755,935,67,518,1066,1002,64,518
756,934,71,515,1069,1005,64,515
757,922,79,519,1065,1001,64,519
758,932,79,509,1075,1011,64,509
759,929,88,503,1081,1017,64,503
760,943,83,494,1090,1026,64,494
761,940,101,479,1105,1041,64,479
762,943,96,481,1103,1039,64,481
763,931,103,486,1098,1034,64,486
764,916,114,490,1094,1030,64,490
765,915,104,501,1083,1019,64,501
766,920,90,510,1074,1010,64,510
767,922,74,524,1060,996,64,524
768,925,67,528,1056,992,64,528
769,939,65,516,1068,1004,64,516
770,944,70,506,1078,1014,64,506
771,932,75,513,1071,1007,64,513
772,935,80,505,1079,1015,64,505
773,926,80,514,1070,1006,64,514
774,923,81,516,1068,1004,64,516
775,922,76,522,1062,998,64,522
776,926,74,520,1064,1000,64,520
777,938,70,512,1072,1008,64,512
778,918,89,513,1071,1007,64,513
779,926,80,514,1070,1006,64,514
780,942,77,501,1083,1019,64,501
