quiet,active,jailed,,,,,,,,,,,,
971,97,52,,,,,,"{
	""initialCopDensity"":0.04,
	""initialAgentDensity"":0.70,
	""vision"":7,
	""govermentLegitimacy"":0.82,
	""maxJailTerm"":30,
	""movement"":true,
	""extention1"":false,
	""tickTime"":1000
}",,,,,,
813,1,306,,,,,,,,,,,,
831,2,287,,,,,,,,,,,,
825,14,281,,,,,,,,,,,,
843,7,270,,,,,,,,,,,,
838,10,272,,,,,,,,,,,,
849,4,267,,,,,,,,,,,,
861,1,258,,,,,,,,,,,,
864,7,249,,,,,,,,,,,,
857,10,253,,,,,,,,,,,,
817,35,268,,,,,,,,,,,,
799,40,281,,,,,,,,,,,,
764,53,303,,,,,,,,,,,,
741,52,327,,,,,,,,,,,,
719,48,353,,,,,,,,,,,,
674,67,379,,,,,,,,,,,,
659,68,393,,,,,,,,,,,,
676,42,402,,,,,,,,,,,,
707,17,396,,,,,,,,,,,,
742,3,375,,,,,,,,,,,,
764,3,353,,,,,,,,,,,,
788,2,330,,,,,,,,,,,,
789,15,316,,,,,,,,,,,,
773,32,315,,,,,,,,,,,,
733,54,333,,,,,,,,,,,,
699,66,355,,,,,,,,,,,,
659,76,385,,,,,,,,,,,,
662,57,401,,,,,,,,,,,,
674,31,415,,,,,,,,,,,,
680,18,422,,,,,,,,,,,,
712,0,408,,,,,,,,,,,,
753,0,367,,,,,,,,,,,,
772,0,348,,,,,,,,,,,,
774,8,338,,,,,,,,,,,,
792,5,323,,,,,,,,,,,,
780,21,319,,,,,,,,,,,,
749,35,336,,,,,,,,,,,,
737,36,347,,,,,,,,,,,,
729,34,357,,,,,,,,,,,,
735,18,367,,,,,,,,,,,,
762,4,354,,,,,,,,,,,,
782,0,338,,,,,,,,,,,,
795,3,322,,,,,,,,,,,,
822,0,298,,,,,,,,,,,,
835,2,283,,,,,,,,,,,,
839,9,272,,,,,,,,,,,,
812,30,278,,,,,,,,,,,,
789,42,289,,,,,,,,,,,,
767,41,312,,,,,,,,,,,,
749,48,323,,,,,,,,,,,,
695,85,340,,,,,,,,,,,,
646,118,356,,,,,,,,,,,,
651,95,374,,,,,,,,,,,,
647,72,401,,,,,,,,,,,,
659,47,414,,,,,,,,,,,,
679,15,426,,,,,,,,,,,,
702,10,408,,,,,,,,,,,,
710,11,399,,,,,,,,,,,,
711,17,392,,,,,,,,,,,,
737,7,376,,,,,,,,,,,,
743,11,366,,,,,,,,,,,,
745,16,359,,,,,,,,,,,,
758,17,345,,,,,,,,,,,,
768,6,346,,,,,,,,,,,,
784,6,330,,,,,,,,,,,,
810,2,308,,,,,,,,,,,,
835,2,283,,,,,,,,,,,,
843,10,267,,,,,,,,,,,,
841,15,264,,,,,,,,,,,,
849,8,263,,,,,,,,,,,,
876,0,244,,,,,,,,,,,,
855,12,253,,,,,,,,,,,,
822,28,270,,,,,,,,,,,,
774,58,288,,,,,,,,,,,,
714,91,315,,,,,,,,,,,,
642,125,353,,,,,,,,,,,,
605,120,395,,,,,,,,,,,,
619,77,424,,,,,,,,,,,,
637,42,441,,,,,,,,,,,,
671,12,437,,,,,,,,,,,,
702,2,416,,,,,,,,,,,,
725,0,395,,,,,,,,,,,,
743,0,377,,,,,,,,,,,,
760,0,360,,,,,,,,,,,,
766,7,347,,,,,,,,,,,,
789,1,330,,,,,,,,,,,,
807,0,313,,,,,,,,,,,,
823,0,297,,,,,,,,,,,,
840,9,271,,,,,,,,,,,,
855,3,262,,,,,,,,,,,,
874,0,246,,,,,,,,,,,,
890,0,230,,,,,,,,,,,,
910,1,209,,,,,,,,,,,,
